,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
Total:,56278618.00,1629577463.00,1500094730.00,151384735.00,1999.00,Gains,Total:,
Under 1 month,21906948.00,505446026.00,467239296.00,38070249.00,1999.00,Gains,Under 1 month,
1 month under 2 months,5719128.00,102787609.00,87728162.00,15173090.00,1999.00,Gains,1 month under 2 months,
2 months under 3 months,3513013.00,51850020.00,43488544.00,8355138.00,1999.00,Gains,2 months under 3 months,
3 months under 4 months,2746662.00,35220535.00,28299441.00,6926654.00,1999.00,Gains,3 months under 4 months,
4 months under 5 months,2297810.00,28143257.00,22492759.00,5655199.00,1999.00,Gains,4 months under 5 months,
5 months under 6 months,1894808.00,21114627.00,16672911.00,4428932.00,1999.00,Gains,5 months under 6 months,
6 months under 7 months,1879869.00,28059306.00,23107892.00,4949195.00,1999.00,Gains,6 months under 7 months,
7 months under 8 months,1702413.00,28502662.00,23872897.00,4589877.00,1999.00,Gains,7 months under 8 months,
8 months under 9 months,1409492.00,18443227.00,14721904.00,3719478.00,1999.00,Gains,8 months under 9 months,
9 months under 10 months,1289889.00,15255265.00,12233111.00,3083332.00,1999.00,Gains,9 months under 10 months,
10 months under 11 months,1235907.00,12851906.00,9919787.00,2930056.00,1999.00,Gains,10 months under 11 months,
11 months under 12 months,1180179.00,16729027.00,14027544.00,2716522.00,1999.00,Gains,11 months under 12 months,
1 year or more [2],482854.00,19704636.00,18251353.00,1486466.00,1999.00,Gains,1 year or more [2],
Holding period not determinable,9019646.00,745469360.00,718039129.00,49300547.00,1999.00,Gains,Holding period not determinable,
Long-term transactions,,,,,1999.00,Gains,Long-term transactions,
Total:,63670827.00,877350118.00,493062665.00,557307623.00,1999.00,Gains,Total:,
Under 18 months [3],6417221.00,84419936.00,58451149.00,25914863.00,1999.00,Gains,Under 18 months [3],
18 months under 2 years,3697462.00,59723191.00,40252039.00,19169464.00,1999.00,Gains,18 months under 2 years,
2 years under 3 years,5355010.00,80266130.00,49955276.00,29590698.00,1999.00,Gains,2 years under 3 years,
3 years under 4 years,3485701.00,57330373.00,32460642.00,23744318.00,1999.00,Gains,3 years under 4 years,
4 years under 5 years,2430487.00,47709734.00,29032297.00,18115942.00,1999.00,Gains,4 years under 5 years,
5 years under 10 years,5879245.00,123364112.00,72218381.00,47128418.00,1999.00,Gains,5 years under 10 years,
10 years under 15 years,1900903.00,59947494.00,29618198.00,29027549.00,1999.00,Gains,10 years under 15 years,
15 years under 20 years,1007142.00,34887073.00,12838414.00,18688312.00,1999.00,Gains,15 years under 20 years,
20 years or more,1173384.00,63464111.00,20168402.00,36755158.00,1999.00,Gains,20 years or more,
Holding period not determinable,32324272.00,266237964.00,148067867.00,309172901.00,1999.00,Gains,Holding period not determinable,
Total:,37527247.00,967825949.00,1072494816.00,112572195.00,1999.00,Losses,Total:,
Under 1 month,12023320.00,226664520.00,247999216.00,21372259.00,1999.00,Losses,Under 1 month,
1 month under 2 months,3714635.00,41456385.00,51998141.00,10487793.00,1999.00,Losses,1 month under 2 months,
2 months under 3 months,2479363.00,25396163.00,31413291.00,6016826.00,1999.00,Losses,2 months under 3 months,
3 months under 4 months,2284244.00,22920015.00,28864914.00,5945640.00,1999.00,Losses,3 months under 4 months,
4 months under 5 months,1958003.00,20074415.00,27273674.00,7162427.00,1999.00,Losses,4 months under 5 months,
5 months under 6 months,1685069.00,17007078.00,21868583.00,4869716.00,1999.00,Losses,5 months under 6 months,
6 months under 7 months,1537833.00,15034374.00,18491163.00,3458571.00,1999.00,Losses,6 months under 7 months,
7 months under 8 months,1442807.00,17004672.00,20961053.00,3958450.00,1999.00,Losses,7 months under 8 months,
8 months under 9 months,1288366.00,10048776.00,13066837.00,3015066.00,1999.00,Losses,8 months under 9 months,
9 months under 10 months,1148776.00,11145670.00,13849719.00,2704259.00,1999.00,Losses,9 months under 10 months,
10 months under 11 months,1152997.00,10307096.00,13097959.00,2795495.00,1999.00,Losses,10 months under 11 months,
11 months under 12 months,1025803.00,10062785.00,12941684.00,2876232.00,1999.00,Losses,11 months under 12 months,
1 year or more [2],411659.00,60861281.00,63095832.00,2236232.00,1999.00,Losses,1 year or more [2],
Holding period not determinable,5374372.00,479842719.00,507572750.00,35673229.00,1999.00,Losses,Holding period not determinable,
