Total,start,end
  Under 1 month,0.00,0.08
  1 month under 2 months,0.08,0.17
  2 months under 3 months,0.17,0.25
  3 months under 4 months,0.25,0.33
  4 months under 5 months,0.33,0.42
  5 months under 6 months,0.42,0.50
  6 months under 7 months,0.50,0.58
  7 months under 8 months,0.58,0.67
  8 months under 9 months,0.67,0.75
  9 months under 10 months,0.75,0.83
  10 months under 11 months,0.83,0.92
  11 months under 12 months,0.92,1.00
  1 year or more [2],1.00,1.08
   Period not determinable,,
Long-term transactions,,
Total,,
  Under 18 months [3],1.00,1.50
  18 months under 2 years,1.50,2.00
  2 years under 3 years,2.00,3.00
  3 years under 4 years,3.00,4.00
  4 years under 5 years,4.00,5.00
  5 years under 10 years,5.00,10.00
  10 years under 15 years,10.00,15.00
  15 years under 20 years,15.00,20.00
  20 years or more,20.00,50.00
  Period not determinable,,
